midi,note,start_s,end_s,velocity,confidence
57,A3,1.16,1.32,0.7823512723926342,1.9954674110429274
45,A2,1.32,1.368,0.5634445059107359,0.9851284888187813
64,E4,1.368,1.472,0.691048475830174,1.5740698884469575
65,F4,1.472,1.488,0.6882564948968513,1.561183822600852
60,C4,1.504,1.56,0.6898583609682516,1.5685770506227
61,C#4,1.56,1.608,0.6571860211366491,1.4177816360153035
47,B2,1.568,1.592,0.5666709172337543,1.000019618001943
60,C4,1.608,1.6400000000000001,0.6601028936549276,1.4312441245612046
55,G3,1.6400000000000001,1.768,0.532532402857038,0.8424572439555599
67,G4,1.6560000000000001,1.68,0.5566282081912064,0.9536686531901832
67,G4,1.768,1.792,0.6559798583595645,1.4122147308902977
64,E4,1.792,1.8800000000000001,0.799560466180776,2.0748944592958893
65,F4,1.8800000000000001,1.952,0.754880860671701,1.8686808954078507
72,C5,1.952,2.072,0.7864230378158794,2.014260174534828
72,C5,2.112,2.128,0.5292121898140572,0.8271331837571873
74,D5,2.2720000000000002,2.384,0.7674453959066183,1.926671058030546
72,C5,2.432,2.56,0.7907086419355607,2.034039885856434
76,E5,2.6,2.744,0.7127871141909656,1.6744020654967644
74,D5,2.7520000000000002,2.92,0.7793949380937464,1.9818227912019064
62,D4,2.92,3.0,0.5952362467238428,1.13185960026389
82,A#5,3.0,3.016,0.5225503777435774,0.7963863588165109
81,A5,3.016,3.04,0.48032775781036413,0.6015127283555268
74,D5,3.04,3.248,0.7294025315058799,1.7510886069502152
62,D4,3.248,3.36,0.6236859495075584,1.263165920804116
74,D5,3.384,3.704,0.7862261458115807,2.013351442207296
72,C5,3.712,3.88,0.7737814440533051,1.9559143571691007
74,D5,3.88,3.928,0.6653010136077453,1.455235447420363
72,C5,3.928,3.952,0.6268798166438185,1.277906846048393
73,C#5,3.952,3.976,0.677950092106969,1.5136158097244725
72,C5,3.976,4.0,0.7149130324215835,1.6842139957919238
67,G4,4.04,4.144,0.7936101485260354,2.047431454735548
72,C5,4.152,4.32,0.7006495716227237,1.6183826382587247
64,E4,4.352,4.456,0.7967846294715448,2.0620829052532836
65,F4,4.456,4.5440000000000005,0.7580176700582961,1.8831584771921364
64,E4,4.5440000000000005,4.5760000000000005,0.5579381195744848,0.9597143980360837
67,G4,4.5840000000000005,4.688,0.6880146266531372,1.560067507629864
62,D4,4.688,4.88,0.7752346722145738,1.9626215640672635
64,E4,4.88,5.008,0.6949862972332507,1.5922444487688494
55,G3,5.016,5.064,0.7243998587756832,1.7279993481954616
56,G#3,5.064,5.168,0.728798010837486,1.7482985115576275
63,D#4,5.168,5.192,0.5116337340857142,0.7460018496263731
62,D4,5.192,5.256,0.45403911743591097,0.4801805420118969
61,C#4,5.272,5.288,0.5593839124292512,0.966387288135006
60,C4,5.312,5.392,0.7493309978009346,1.8430661436966211
59,B3,5.392,5.408,0.6520627412306425,1.3941357287568115
64,E4,5.472,5.632,0.7852750688917447,2.008961856423437
62,D4,5.64,5.792,0.7583223625328521,1.884564750151625
69,A4,5.792,5.904,0.7520761288390188,1.8557359792570098
63,D#4,5.912,5.928,0.5324621882574645,0.842133176572913
64,E4,5.936,5.976,0.7086584136660463,1.6553465246125214
65,F4,5.976,6.016,0.6392154503050167,1.3348405398693082
64,E4,6.016,6.056,0.620704301160748,1.2494044668957605
65,F4,6.056,6.072,0.4981616376108449,0.6838229428192844
63,D#4,6.072,6.096,0.4636276110153872,0.5244351277633257
72,C5,6.096,6.192,0.6406011018187712,1.3412358545481748
61,C#4,6.192,6.216,0.4716587649775465,0.5615019922040609
70,A#4,6.248,6.312,0.6350001227774578,1.315385182049805
53,F3,6.448,6.488,0.44192921362910015,0.4242886782881547
72,C5,6.5920000000000005,6.752,0.803045773491413,2.090980493037291
60,C4,6.752,6.784,0.5549777744871248,0.9460512668636532
79,G5,6.784,6.872,0.7283925760084687,1.7464272738852404
76,E5,6.904,7.008,0.637849205026207,1.3285347924286475
77,F5,6.96,6.984,0.5182524440828215,0.7765497419207147
79,G5,7.016,7.176,0.6820590068230754,1.5325800314911173
72,C5,7.232,7.816,0.806531269600832,2.107067398157686
53,F3,7.5520000000000005,7.5680000000000005,0.5183788464553724,0.7771331374863341
69,A4,7.672000000000001,7.688,0.445409769372359,0.44035278171857994
69,A4,7.816,7.856,0.6914443782992854,1.5758971306120868
64,E4,7.888,8.008000000000001,0.7883450304076822,2.0231309095739176
69,A4,8.008000000000001,8.024000000000001,0.6128463392603436,1.2131369504323548
69,A4,8.048,8.2,0.7559336510472354,1.8735399279103175
62,D4,8.208,8.344,0.7753187502531954,1.9630096165532098
63,D#4,8.296,8.36,0.5023675524751084,0.7032348575774237
64,E4,8.36,8.52,0.817990768332767,2.159957392305078
60,C4,8.528,8.84,0.7883288925257684,2.0230564270420084
54,F#3,8.848,8.88,0.7611408485511167,1.8975731471590003
53,F3,8.88,9.016,0.7529788759810867,1.8599025045280921
42,F#2,9.024000000000001,9.040000000000001,0.47716544822119866,0.5869174533286092
59,B3,9.040000000000001,9.056000000000001,0.5416602441182434,0.8845857420842003
60,C4,9.056000000000001,9.136000000000001,0.7349478875113346,1.7766825577446212
58,A#3,9.176,9.248,0.6215387259178728,1.2532556580824898
57,A3,9.192,9.208,0.6449908326478191,1.361496150682242
57,A3,9.232,9.272,0.6588041187939855,1.4252497790491638
58,A#3,9.272,9.304,0.6511809598592602,1.3900659685812011
64,E4,9.32,9.496,0.7971704317585533,2.063863531193323
60,C4,9.496,9.696,0.7543830580992534,1.8663833450734777
67,G4,9.696,9.776,0.7506868166963047,1.84932376936756
69,A4,9.96,10.120000000000001,0.7612025844559085,1.8978580821041926
67,G4,10.128,10.24,0.7477107689937019,1.8355881645863166
69,A4,10.24,10.272,0.506959833233102,0.724429999537394
72,C5,10.296,10.448,0.7379589499246644,1.7905797688830662
69,A4,10.448,10.608,0.788568206352781,2.024160952397451
57,A3,10.608,10.712,0.5868938410795363,1.0933561895978603
69,A4,10.696,10.768,0.7025213461887438,1.6270215977942024
72,C5,10.768,10.864,0.7338409768395096,1.7715737392592752
69,A4,10.864,10.944,0.7438989516607954,1.8179951615113636
57,A3,10.928,11.072000000000001,0.5295969052659761,0.8289087935352746
69,A4,11.08,11.408,0.797237237861242,2.0641718670518863
67,G4,11.416,11.512,0.745686789868387,1.8262467224694787
68,G#4,11.512,11.672,0.7012428215790025,1.621120714980012
67,G4,11.672,11.72,0.6990236545960584,1.610878405827962
64,E4,11.76,11.872,0.8207393766451647,2.1726432768238375
68,G#4,11.872,11.952,0.6464241349082848,1.3681113918843912
60,C4,11.952,11.976,0.48993217131044947,0.645840790663613
68,G#4,11.984,12.08,0.6422978261854169,1.3490668900865397
60,C4,12.088000000000001,12.24,0.7208338325828676,1.7115407657670814
64,E4,12.24,12.496,0.7946262389441288,2.052121102819056
60,C4,12.568,12.664,0.7673181997705418,1.9260839989409622
43,G2,12.728,12.744,0.5334500143048374,0.8466923737146341
52,E3,12.744,12.888,0.7735958577503665,1.955057805001692
59,B3,12.888,13.048,0.7643378408567295,1.9123284962618283
56,G#3,13.056000000000001,13.136000000000001,0.6403223448787714,1.3399492840558678
55,G3,13.136000000000001,13.152000000000001,0.47148465325009614,0.5606983996158285
43,G2,13.152000000000001,13.168000000000001,0.4580252441796217,0.49857805005979255
62,D4,13.216000000000001,13.496,0.8008301410568424,2.080754497185426
47,B2,13.504,13.52,0.5994637285071494,1.1513710546483815
59,B3,13.528,13.56,0.6917661402494597,1.5773821857667374
65,F4,13.568,13.696,0.7951453955581377,2.054517210268328
62,D4,13.728,13.952,0.7551550988219133,1.8699466099472928
68,G#4,13.952,13.984,0.5293609740896738,0.827819880413879
66,F#4,13.992,14.008000000000001,0.4399462881174153,0.41513671438807065
65,F4,14.040000000000001,14.192,0.7963963757137906,2.06029096483288
66,F#4,14.192,14.208,0.5122100593644915,0.7486618124514992
71,B4,14.208,14.352,0.6610923408734514,1.435810804031314
68,G#4,14.36,14.448,0.7123503255159918,1.6723861177661155
76,E5,14.52,14.632,0.6289544088351207,1.2874818869313263
75,D#5,14.632,14.656,0.4605953728059552,0.5104401821813316
56,G#3,14.68,14.744,0.6943690052836913,1.5893954090016522
57,A3,14.744,14.792,0.6992536877616966,1.6119400973616762
56,G#3,14.792,14.84,0.7114719283838289,1.6683319771561331
62,D4,14.84,14.96,0.6923819483955529,1.580224377210244
63,D#4,14.96,14.976,0.4959791360154125,0.6737498585326731
60,C4,15.016,15.144,0.689377059515339,1.5663556593015646
58,A#3,15.144,15.168000000000001,0.42486753429363194,0.345542465970609
65,F4,15.176,15.344000000000001,0.8129850936831232,2.1368542785374918
64,E4,15.344000000000001,15.368,0.5602016753121785,0.9701615783639006
48,C3,15.352,15.392,0.505258064471136,0.716575682174474
65,F4,15.376,15.432,0.5664606048452641,0.9990489454396805
64,E4,15.432,15.472,0.6694192471225532,1.4742426790271685
62,D4,15.44,15.504,0.7117846091590347,1.669775119195545
68,G#4,15.504,15.56,0.5735271935532518,1.0316639702457777
69,A4,15.56,15.648,0.7199015535500753,1.7072379394618862
65,F4,15.688,15.848,0.7263703257564422,1.7370938111835792
71,B4,15.848,16.016000000000002,0.7332536915455922,1.768863191748887
68,G#4,16.016000000000002,16.064,0.49341081780181295,0.6618960821622136
71,B4,16.064,16.112000000000002,0.6647029156574038,1.452474995341864
72,C5,16.112000000000002,16.208000000000002,0.6494267531077751,1.3819696297281927
74,D5,16.208000000000002,16.344,0.6108853683609569,1.2040863155121087
72,C5,16.296,16.32,0.4926907940690991,0.6585728957035344
71,B4,16.344,16.472,0.7116475359530131,1.6691424736292915
72,C5,16.392,16.408,0.5512042488199403,0.9286349945535709
81,A5,16.512,16.624,0.692671037274508,1.5815586335746525
80,G#5,16.624,16.688,0.6069001282390303,1.1856928995647553
81,A5,16.688,16.704,0.5307309116939796,0.834142669356829
79,G5,16.704,16.72,0.6716242695531988,1.4844197056301482
